chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
爱,ài,,by,,0.3333333333333333,aɪ,baɪ
八,bā,,by,,0.3333333333333333,pa,baɪ
爸爸,bà ba,,bombing,,0.4,papa,bɑmɪŋ
杯子,bēi zi,,makes,,0.3749999999999999,peɪtsɯ,meɪks
北京,Běi jīng,,party,,0.4642857142857142,peɪtɕiŋ,pɑrti
本,běn,,but,,0.25,pən,bət
不客气,bù kè qi,,parliamentary,,0.7291666666666666,pukʰɤtɕʰi,pɑrləmɛntəri
不,bù,,blue,,0.3333333333333333,pu,blu
菜,cài,,high,,0.55,tsʰaɪ,haɪ
茶,chá,,state,,0.7,ʈʂʰa,steɪt
吃,chī,,trade,,0.7,ʈʂʰɨ,treɪd
出租车,chū zū chē,,administrators,,0.8166666666666667,ʈʂʰutsuʈʂʰɤ,ædmɪnɪstreɪtərz
打电话,dǎ diàn huà,,tanzanian,,0.55,tatjɛnxwa,tænzeɪnjən
大,dà,,la,,0.25,ta,lɑ
的,de,,tow,,0.4999999999999999,tɤ,toʊ
点,diǎn,,season,,0.4,tjɛn,sizən
电脑,diàn nǎo,,friendship,,0.5625,tjɛnnɑʊ,frɛndʃɪp
电视,diàn shì,,frequency,,0.4999999999999999,tjɛnʂɨ,frikwənsi
电影,diàn yǐng,,recording,,0.5625,tjɛniŋ,rɪkɔrdɪŋ
东西,dōng xi,,only,,0.55,tʊŋɕi,oʊnli
都,dōu,,no,,0.25,toʊ,noʊ
读,dú,,due,,0.25,tu,du
对不起,duì bu qǐ,,profitability,,0.6538461538461537,tweɪputɕʰi,prɑfɪtəbɪlɪti
多,duō,,to,,0.5833333333333333,twɔ,tɪ
多少,duō shao,,twenty-five,,0.575,twɔʂɑʊ,twɛntifaɪv
儿子,ér zi,,also,,0.6000000000000001,ɑɻtsɯ,ɔlsoʊ
二,èr,,was,,0.5833333333333333,ɑɻ,wɑz
饭馆,fàn guǎn,,band,,0.4999999999999999,fankwan,bænd
飞机,fēi jī,,base,,0.4583333333333332,feɪtɕi,beɪs
分钟,fēn zhōng,,volunteering,,0.45,fənʈʂʊŋ,vɔləntɪrɪŋ
高兴,gāo xìng,,encountering,,0.525,kɑʊɕiŋ,ɛnkaʊnərɪŋ
个,gè,,co,,0.4999999999999999,kɤ,koʊ
工作,gōng zuò,,continued,,0.6666666666666666,kʊŋtswɔ,kəntɪnjud
狗,gǒu,,coach,,0.25,koʊ,koʊʧ
汉语,Hàn yǔ,,cannot,,0.4,xany,kænɑt
好,hǎo,,cows,,0.25,xɑʊ,kaʊz
喝,hē,,co,,0.4999999999999999,xɤ,koʊ
和,hé,,co,,0.4999999999999999,xɤ,koʊ
很,hěn,,cup,,0.25,xən,kəp
后面,hòu mian,,romanian,,0.45,xoʊmjɛn,roʊmeɪniən
回,huí,,claim,,0.4,xweɪ,kleɪm
会,huì,,claim,,0.4,xweɪ,kleɪm
火车站,huǒ chē zhàn,,experimentation,,0.703125,xwɔʈʂʰɤʈʂan,ɪkspɛrəmənteɪʃən
几,jǐ,,to,,0.5,tɕi,tɪ
家,jiā,,july,,0.7,tɕja,ʤulaɪ
叫,jiào,,now,,0.55,tɕjɑʊ,naʊ
今天,jīn tiān,,standardization,,0.6166666666666667,tɕintʰjɛn,stændərdɪzeɪʃən
九,jiǔ,,rio,,0.4,tɕjoʊ,rioʊ
开,kāi,,by,,0.5,kʰaɪ,baɪ
看,kàn,,john,,0.5,kʰan,ʤɑn
看见,kàn jiàn,,conservation,,0.5625,kʰantɕjɛn,kɑnsərveɪʃən
块,kuài,,korea,,0.6000000000000001,kʰwaɪ,kɔriə
来,lái,,life,,0.25,laɪ,laɪf
老师,lǎo shī,,roxy,,0.35,lɑʊʂɨ,rɑksi
了,le,,lee,,0.375,lɤ,li
冷,lěng,,along,,0.3125,lɤŋ,əlɔŋ
里,lǐ,,t,,0.25,li,ti
零,líng,,link,,0.375,liŋ,lɪŋk
六,liù,,trio,,0.3,ljoʊ,trioʊ
妈妈,mā ma,,bombing,,0.4,mama,bɑmɪŋ
吗,ma,,na,,0.25,ma,nɑ
买,mǎi,,bay,,0.25,maɪ,beɪ
猫,māo,,by,,0.25,mɑʊ,baɪ
没,méi,,by,,0.25,meɪ,baɪ
没关系,méi guān xi,,spirituality,,0.5416666666666667,meɪkwanɕi,spɪrɪʧuæləti
米饭,mǐ fàn,,given,,0.45,mifan,gɪvɪn
明天,míng tiān,,maintenance,,0.575,miŋtʰjɛn,meɪntənəns
名字,míng zi,,picasso,,0.4999999999999999,miŋtsɯ,pɪkɑsoʊ
哪,nǎ,,ma,,0.25,na,mɑ
那,nà,,ma,,0.25,na,mɑ
呢,ne,,no,,0.4999999999999999,nɤ,noʊ
能,néng,,noting,,0.5416666666666666,nɤŋ,noʊtɪŋ
你,nǐ,,me,,0.25,ni,mi
年,nián,,named,,0.4,njɛn,neɪmd
女儿,nǚ ér,,annual,,0.5833333333333333,nyɑɻ,ænjuəl
朋友,péng you,,domingo,,0.5625,pʰɤŋyoʊ,dəmɪŋgoʊ
漂亮,piào liang,,programming,,0.6499999999999999,pʰjɑʊljɑŋ,proʊgræmɪŋ
苹果,píng guǒ,,precursor,,0.6666666666666666,pʰiŋkwɔ,prikərsər
七,qī,,treasury,,0.6428571428571429,tɕʰi,trɛʒəri
钱,qián,,retaliation,,0.6363636363636362,tɕʰjɛn,ritælieɪʃən
前面,qián miàn,,however,,0.675,tɕʰjɛnmjɛn,haʊɛvər
请,qǐng,,to,,0.7,tɕʰiŋ,tɪ
去,qù,,matthew,,0.6499999999999999,tɕʰy,mæθju
热,rè,,they,,0.5833333333333333,ʐɤ,ðeɪ
人,rén,,that,,0.3333333333333333,ʐən,ðət
认识,rèn shi,,only,,0.5,ʐənʂɨ,oʊnli
日,rì,,he,,0.375,ʐɨ,hi
三,sān,,son,,0.25,san,sən
商店,shāng diàn,,washington,,0.5625,ʂɑŋtjɛn,wɔʃɪŋtən
上,shàng,,sank,,0.3125,ʂɑŋ,sæŋk
上午,shàng wǔ,,samuel,,0.5416666666666666,ʂɑŋu,sæmjul
少,shǎo,,south,,0.3125,ʂɑʊ,saʊθ
谁,shéi,,say,,0.3125,ʂweɪ,seɪ
什么,shén me,,and,,0.55,ʂənmɤ,ənd
十,shí,,t,,0.375,ʂɨ,ti
时候,shí hou,,ringo,,0.375,ʂɨxoʊ,riŋgoʊ
是,shì,,t,,0.375,ʂɨ,ti
书,shū,,two,,0.375,ʂu,tu
水,shuǐ,,say,,0.3125,ʂweɪ,seɪ
水果,shuǐ guǒ,,stadium,,0.59375,ʂweɪkwɔ,steɪdiəm
睡觉,shuì jiào,,rehabilitation,,0.673076923076923,ʂweɪtɕjɑʊ,riəbɪləteɪʃən
说话,shuō huà,,week,,0.6249999999999999,ʂwɔxwa,wik
四,sì,,some,,0.5,sɯ,səm
岁,suì,,way,,0.25,sweɪ,weɪ
他,tā,,dry,,0.5625,tʰa,draɪ
她,tā,,dry,,0.5625,tʰa,draɪ
太,tài,,to,,0.5,tʰaɪ,tɪ
天气,tiān qì,,staffordshire,,0.6458333333333334,tʰjɛntɕʰi,stæfərdʃaɪər
听,tīng,,defeating,,0.6428571428571428,tʰiŋ,dɪfitɪŋ
同学,tóng xué,,association,,0.7727272727272727,tʰʊŋɕɥœ,əsoʊʃieɪʃən
喂,wèi,,away,,0.25,weɪ,əweɪ
我,wǒ,,utah,,0.5625,wɔ,jutɔ
我们,wǒ men,,warming,,0.3749999999999999,wɔmən,wɔrmɪŋ
五,wǔ,,new,,0.5,u,nu
喜欢,xǐ huan,,request,,0.5357142857142857,ɕixwan,rɪkwɛst
下,xià,,huron,,0.5416666666666666,ɕja,hjʊrɑn
下午,xià wǔ,,huron,,0.5416666666666666,ɕjau,hjʊrɑn
下雨,xià yǔ,,huron,,0.5416666666666666,ɕjay,hjʊrɑn
先生,xiān sheng,,resulting,,0.59375,ɕjɛnʂɤŋ,rɪzəltɪŋ
现在,xiàn zài,,secondary,,0.6388888888888888,ɕjɛntsaɪ,sɛkəndɛri
想,xiǎng,,zhejiang,,0.35,ɕjɑŋ,ʒiʤɑŋ
小,xiǎo,,now,,0.5,ɕjɑʊ,naʊ
小姐,xiǎo jie,,ecclesiastical,,0.673076923076923,ɕjɑʊtɕjɛ,ɛkliziæstɪkəl
些,xiē,,he,,0.5,ɕjɛ,hi
写,xiě,,he,,0.5,ɕjɛ,hi
谢谢,xiè xie,,yet,,0.6249999999999999,ɕjɛɕjɛ,jɛt
星期,xīng qī,,philadelphia,,0.7499999999999999,ɕiŋtɕʰi,fɪlədɛlfiə
学生,xué sheng,,work,,0.5833333333333333,ɕɥœʂɤŋ,wərk
学习,xué xí,,with,,0.55,ɕɥœɕi,wɪθ
学校,xué xiào,,hungarian,,0.6666666666666666,ɕɥœɕjɑʊ,həŋgɛriən
一,yī,,he,,0.5,i,hi
衣服,yī fu,,avenue,,0.55,ifu,ævənu
医生,yī shēng,,racing,,0.5833333333333333,iʂɤŋ,reɪsɪŋ
医院,yī yuàn,,one,,0.3125,iɥœn,wən
椅子,yǐ zi,,nazi,,0.45,itsɯ,nɑtsi
有,yǒu,,widow,,0.45,yoʊ,wɪdoʊ
月,yuè,,work,,0.5625,ɥœ,wərk
在,zài,,style,,0.4,tsaɪ,staɪl
再见,zài jiàn,,translations,,0.5625,tsaɪtɕjɛn,trænzleɪʃənz
怎么,zěn me,,decided,,0.59375,tsənmɤ,dɪsaɪdɪd
怎么样,zěn me yàng,,distinguishing,,0.6458333333333333,tsənmɤjɑŋ,dɪstɪŋgwɪʃɪŋ
这,zhè,,small,,0.625,ʈʂɤ,smɔl
中国,Zhōng guó,,coca-cola,,0.7,ʈʂʊŋkwɔ,koʊkəkoʊlɑ
中午,zhōng wǔ,,who,,0.7,ʈʂʊŋu,hu
住,zhù,,statue,,0.55,ʈʂu,stæʧu
桌子,zhuō zi,,squadron,,0.59375,ʈʂwɔtsɯ,skwɑdrən
字,zì,,artist,,0.6249999999999999,tsɯ,ɑrtɪst
昨天,zuó tiān,,associations,,0.6458333333333333,tswɔtʰjɛn,əsoʊʃieɪʃənz
坐,zuò,,student,,0.6428571428571428,tswɔ,studənt
做,zuò,,student,,0.6428571428571428,tswɔ,studənt
吧,ba,,by,,0.3333333333333333,pa,baɪ
白,bái,,may,,0.25,paɪ,meɪ
百,bǎi,,may,,0.25,paɪ,meɪ
帮助,bāng zhù,,bisexual,,0.575,pɑŋʈʂu,baɪsɛkʃuəl
报纸,bào zhǐ,,based,,0.4583333333333332,pɑʊʈʂɨ,beɪst
比,bǐ,,beach,,0.3333333333333333,pi,biʧ
别,bié,,ba,,0.375,pjɛ,bieɪ
长,cháng,,mustang,,0.4583333333333333,ʈʂɑŋ,məstæŋ
唱歌,chàng gē,,triangle,,0.6388888888888888,ʈʂʰɑŋkɤ,traɪæŋgəl
出,chū,,stone,,0.7,ʈʂʰu,stoʊn
穿,chuān,,staff,,0.5833333333333333,ʈʂʰwan,stæf
船,chuán,,staff,,0.5833333333333333,ʈʂʰwan,stæf
次,cì,,although,,0.7,tsʰɯ,ɔlðoʊ
从,cóng,,during,,0.6000000000000001,tsʰʊŋ,dʊrɪŋ
错,cuò,,through,,0.7,tsʰwɔ,θru
打篮球,dá lán qiú,,atlantic,,0.5909090909090908,talantɕʰjoʊ,ətlæntɪk
