,hanzi,pinyin,translation,ipa,valid_ipa,dolgo,custom_alphabet_5,custom_alphabet_10,custom_alphabet_15,custom_alphabet_20
0,爱,ài,to love,aɪ,True,VV,AA,DH,FB,GL
1,八,bā,eight,pa,True,PV,CA,GD,CF,IG
2,爸爸,bà ba,(informal) father,papa,True,PVPV,CACA,GDGD,CFCF,IGIG
3,杯子,bēi zi,cup,peɪtsɯ,True,PVVTTV,CAABBA,GDHCIH,CMBGGB,ILLRFO
4,北京,Běi jīng,Beijing,peɪtɕiŋ,True,PVVTKVN,CAABBAE,GDHCBHE,CMBGOLN,ILLRMSP
5,本,běn,roots or stems of plants,pən,True,PVN,CAC,GAC,CBK,ILA
6,不客气,bù kè qi,you're welcome,pukʰɤtɕʰi,True,PVKVTKV,CDEFABBFA,GFEKDCBKH,CDEPIGOPL,IKEUBRMUS
7,不,bù,(negative prefix),pu,True,PV,CD,GF,CD,IK
8,菜,cài,dish (type of food),tsʰaɪ,True,TTVV,BBFAA,CIKDH,GGPFB,RFUGL
9,茶,chá,tea,ʈʂʰa,True,TTV,BBFA,IIKD,GOPF,RFUG
10,吃,chī,to eat,ʈʂʰɨ,True,TTV,BBFA,IIKH,GOPL,RFUS
11,出租车,chū zū chē,taxi,ʈʂʰutsuʈʂʰɤ,True,TTVTTVTTV,BBFDBBDBBFA,IIKFCIFIIKD,GOPDGGDGOPI,RFUKRFKRFUB
12,打电话,dǎ diàn huà,to make a telephone call,tatjɛnxwa,True,TVTRVNKRV,BABAACEDA,CDCHACEFD,GFGLMKEDF,RGRCLAEQG
13,大,dà,big,ta,True,TV,BA,CD,GF,RG
14,的,de,of,tɤ,True,TV,BA,CD,GI,RB
15,点,diǎn,point,tjɛn,True,TRVN,BAAC,CHAC,GLMK,RCLA
16,电脑,diàn nǎo,computer,tjɛnnɑʊ,True,TRVNNVV,BAACCAD,CHACCDH,GLMKKFB,RCLAAGO
17,电视,diàn shì,television,tjɛnʂɨ,True,TRVNTV,BAACBA,CHACIH,GLMKOL,RCLAFS
18,电影,diàn yǐng,movie,tjɛniŋ,True,TRVNVN,BAACAE,CHACHE,GLMKLN,RCLASP
19,东西,dōng xi,thing,tʊŋɕi,True,TVNKV,BDEBA,CHEBH,GBNOL,ROPMS
20,都,dōu,all,toʊ,True,TVV,BDD,CAH,GIB,RBO
21,读,dú,to read,tu,True,TV,BD,CF,GD,RK
22,对不起,duì bu qǐ,unworthy,tweɪputɕʰi,True,TRVVPVTKV,BDAACDBBFA,CFDHGFCBKH,GDMBCDGOPL,RQLLIKRMUS
23,多,duō,many,twɔ,True,TRV,BDA,CFA,GDI,RQB
24,多少,duō shao,how much,twɔʂɑʊ,True,TRVTVV,BDABAD,CFAIDH,GDIOFB,RQBFGO
25,儿子,ér zi,son,ɑɻtsɯ,True,VRTTV,AABBA,DICIH,FJGGB,GCRFO
26,二,èr,two,ɑɻ,True,VR,AA,DI,FJ,GC
27,饭馆,fàn guǎn,restaurant,fankwan,True,PVNKRVN,CACEDAC,GDCEFDC,CFKEDFK,NGAEQGA
28,飞机,fēi jī,airplane,feɪtɕi,True,PVVTKV,CAABBA,GDHCBH,CMBGOL,NLLRMS
29,分钟,fēn zhōng,minute,fənʈʂʊŋ,True,PVNTTVN,CACBBDE,GACIIHE,CBKGOBN,NLARFOP
30,高兴,gāo xìng,happy,kɑʊɕiŋ,True,KVVKVN,EADBAE,EDHBHE,EFBOLN,EGOMSP
31,个,gè,variant of 個|个[gè],kɤ,True,KV,EA,ED,EI,EB
32,工作,gōng zuò,to work,kʊŋtswɔ,True,KVNTTRV,EDEBBDA,EHECIFA,EBNGGDI,EOPRFQB
33,狗,gǒu,dog,koʊ,True,KVV,EDD,EAH,EIB,EBO
34,汉语,Hàn yǔ,Chinese language,xany,True,KVNV,EACD,EDCF,EFKD,EGAK
35,好,hǎo,good,xɑʊ,True,KVV,EAD,EDH,EFB,EGO
36,喝,hē,to drink,xɤ,True,KV,EA,ED,EI,EB
37,和,hé,and,xɤ,True,KV,EA,ED,EI,EB
38,很,hěn,(adverb of degree),xən,True,KVN,EAC,EAC,EBK,ELA
39,后面,hòu mian,rear,xoʊmjɛn,True,KVVMRVN,EDDCAAC,EAHGHAC,EIBKLMK,EBOICLA
40,回,huí,to curve,xweɪ,True,KRVV,EDAA,EFDH,EDMB,EQLL
41,会,huì,can,xweɪ,True,KRVV,EDAA,EFDH,EDMB,EQLL
42,火车站,huǒ chē zhàn,train station,xwɔʈʂʰɤʈʂan,True,KRVTTVTTVN,EDABBFABBAC,EFAIIKDIIDC,EDIGOPIGOFK,EQBRFUBRFGA
43,几,jǐ,how much,tɕi,True,TKV,BBA,CBH,GOL,RMS
44,家,jiā,home,tɕja,True,TKRV,BBAA,CBHD,GOLF,RMCG
45,叫,jiào,to shout,tɕjɑʊ,True,TKRVV,BBAAD,CBHDH,GOLFB,RMCGO
46,今天,jīn tiān,today,tɕintʰjɛn,True,TKVNTRVN,BBACBFAAC,CBHCCKHAC,GOLKGPLMK,RMSARUCLA
47,九,jiǔ,nine,tɕjoʊ,True,TKRVV,BBADD,CBHAH,GOLIB,RMCBO
48,开,kāi,to open,kʰaɪ,True,KVV,EFAA,EKDH,EPFB,EUGL
49,看,kàn,to see,kʰan,True,KVN,EFAC,EKDC,EPFK,EUGA
50,看见,kàn jiàn,to see,kʰantɕjɛn,True,KVNTKRVN,EFACBBAAC,EKDCCBHAC,EPFKGOLMK,EUGARMCLA
51,块,kuài,lump (of earth),kʰwaɪ,True,KRVV,EFDAA,EKFDH,EPDFB,EUQGL
52,来,lái,to come,laɪ,True,RVV,BAA,CDH,JFB,JGL
53,老师,lǎo shī,teacher,lɑʊʂɨ,True,RVVTV,BADBA,CDHIH,JFBOL,JGOFS
54,了,le,(modal particle intensifying preceding clause),lɤ,True,RV,BA,CD,JI,JB
55,冷,lěng,cold,lɤŋ,True,RVN,BAE,CDE,JIN,JBP
